
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-22 02:59:39 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:59:39 /api/competitions .................................................................. ~ 507.70ms
  2026-08-22 02:59:40 /api/content/landing-extras ........................................................ ~ 508.30ms
  2026-08-22 02:59:40 /api/content/home-hero ............................................................... ~ 2.52ms
  2026-08-22 02:59:40 /api/competitions .................................................................. ~ 510.81ms
  2026-08-22 02:59:40 /api/content/general-documents ..................................................... ~ 510.31ms
  2026-08-22 02:59:40 /api/content/general-documents ....................................................... ~ 1.00ms
  2026-08-22 02:59:41 /api/venues .......................................................................... ~ 0.84ms
  2026-08-22 02:59:41 /api/content/landing-extras ........................................................ ~ 504.33ms
  2026-08-22 02:59:41 /api/competitions .................................................................. ~ 505.68ms
  2026-08-22 02:59:41 /api/competition-types ............................................................. ~ 506.01ms
  2026-08-22 02:59:41 /api/content/general-documents ..................................................... ~ 506.41ms
  2026-08-22 02:59:42 /api/content/general-documents ....................................................... ~ 2.04ms
  2026-08-22 02:59:57 /api/login ......................................................................... ~ 508.03ms
  2026-08-22 02:59:58 /api/login ......................................................................... ~ 507.93ms
  2026-08-22 02:59:58 /api/login ......................................................................... ~ 511.57ms
  2026-08-22 02:59:59 /api/login ........................................................................... ~ 0.34ms
  2026-08-22 02:59:59 /api/login ......................................................................... ~ 509.67ms
  2026-08-22 03:05:34 /storage/site-content/general-documents/OA0Y1xEl1oTLCVZ2NAbp6kts96qrARQxRlHltLRm.docx  ~ 0.69ms
  2026-08-22 03:10:47 /api/content/general-documents ..................................................... ~ 515.02ms
  2026-08-22 03:10:47 /api/content/general-documents ..................................................... ~ 516.65ms
  2026-08-22 03:10:47 /api/content/general-documents ....................................................... ~ 0.21ms
  2026-08-22 03:10:47 /api/content/general-documents ..................................................... ~ 501.35ms
  2026-08-22 03:11:14 /api/content/general-documents ..................................................... ~ 510.34ms
  2026-08-22 03:11:14 /api/content/general-documents ..................................................... ~ 511.68ms
  2026-08-22 03:11:14 /api/content/general-documents ....................................................... ~ 0.15ms
  2026-08-22 03:11:14 /api/content/general-documents ....................................................... ~ 0.11ms
  2026-08-22 03:11:33 /api/content/general-documents ..................................................... ~ 510.58ms
  2026-08-22 03:11:33 /api/content/general-documents ....................................................... ~ 0.43ms
  2026-08-22 03:11:33 /api/content/general-documents ....................................................... ~ 0.46ms
  2026-08-22 03:11:33 /api/content/general-documents ....................................................... ~ 0.25ms
  2026-08-22 03:12:11 /api/content/general-documents ....................................................... ~ 2.08ms
  2026-08-22 03:12:11 /api/content/general-documents ..................................................... ~ 512.57ms
  2026-08-22 03:12:11 /api/content/general-documents ....................................................... ~ 0.56ms
  2026-08-22 03:12:12 /api/content/general-documents ....................................................... ~ 0.28ms
  2026-08-22 03:16:36 /api/content/general-documents/0/download .......................................... ~ 509.10ms
  2026-08-22 03:16:49 /api/competitions .................................................................... ~ 1.75ms
  2026-08-22 03:16:49 /api/competitions/bola-voli-putra/documents/0/download ............................. ~ 511.00ms
  2026-08-22 03:18:48 /api/content/general-documents .......................................................... ~ 1dt
  2026-08-22 03:18:48 /api/content/general-documents .......................................................... ~ 2dt
  2026-08-22 03:18:48 /api/editions ........................................................................... ~ 2dt
  2026-08-22 03:18:49 /api/editions ........................................................................... ~ 1dt
  2026-08-22 03:18:50 /api/content/general-documents .......................................................... ~ 1dt
  2026-08-22 03:18:50 /api/content/general-documents .......................................................... ~ 1dt
  2026-08-22 03:18:51 /api/editions ........................................................................... ~ 1dt
  2026-08-22 03:18:51 /api/editions ........................................................................... ~ 1dt
  2026-08-22 03:18:55 /api/content/general-documents/0/download .......................................... ~ 588.96ms
  2026-08-22 03:19:36 /api/manage/dashboard ................................................................ ~ 0.92ms
  2026-08-22 03:19:36 /api/manage/competitions ........................................................... ~ 511.03ms
  2026-08-22 03:19:36 /api/manage/competitions ................................................................ ~ 1dt
